runtime,rating,votes,gross_earn,director_avg_earn,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
142.0,7.2,907228.0,408.01,189.62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126.0,7.9,1042059.0,318.41,189.76857142857145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100.0,8.2,1029876.0,380.84,291.0075,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.0,8.3,1037803.0,309.13,309.13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133.0,8.7,994171.0,112.0,39.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.0,8.0,1157753.0,333.18,113.75666666666666,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.0,8.2,1056090.0,125.62,44.397000000000006,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.0,8.3,992622.0,34.4,37.252500000000005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
96.0,8.3,1028031.0,293.0,313.12666666666667,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.0,8.3,1002382.0,2.83,78.02625,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115.0,8.4,953762.0,248.16,156.35148148148147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.0,8.0,764668.0,74.1,35.879999999999995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88.0,8.5,1039701.0,422.78,253.945,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.0,8.0,839114.0,141.32,27.137272727272727,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
169.0,7.8,811320.0,303.0,194.03454545454545,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81.0,8.3,978664.0,191.8,207.196,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.0,8.2,973121.0,402.45,156.35148148148147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122.0,8.2,954931.0,74.28,56.94428571428572,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135.0,8.2,921008.0,170.74,92.32947368421053,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146.0,8.4,1000391.0,44.02,31.095,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117.0,7.6,811856.0,210.61,155.80285714285716,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126.0,8.3,950568.0,138.43,27.30090909090909,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104.0,8.3,845236.0,30.33,68.76142857142857,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.0,8.1,853011.0,38.4,278.42571428571426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132.0,8.2,865629.0,83.01,60.782000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92.0,8.1,895813.0,289.92,313.12666666666667,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,7.7,775812.0,277.32,124.33625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.0,7.7,818384.0,274.09,101.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
113.0,8.0,791646.0,1.48,5.603333333333334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
102.0,8.3,830490.0,3.64,41.89833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.0,8.1,965733.0,167.77,86.519,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
117.0,8.5,866157.0,78.9,73.78190476190477,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
138.0,7.8,919840.0,936.66,336.84000000000003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116.0,8.1,768600.0,148.1,59.93259259259259,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136.0,8.3,818737.0,6.21,31.095,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130.0,7.1,837520.0,409.01,149.83666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108.0,8.0,755683.0,106.95,41.89833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120.0,8.1,983720.0,154.06,58.024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143.0,7.1,761417.0,291.05,155.80285714285716,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121.0,7.4,805657.0,403.71,117.43615384615383,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103.0,8.3,825219.0,415.0,415.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130.0,8.1,859602.0,381.01,279.518,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
170.0,8.3,823949.0,45.6,40.53866666666667,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117.0,8.1,798814.0,17.5,16.954,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0,7.0,836350.0,181.03,58.916666666666664,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136.0,6.5,795403.0,474.54,267.61,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122.0,8.3,749530.0,33.23,22.1025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
122.0,7.7,703803.0,132.09,84.28500000000001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
